Id,Name,sustain_app__CalendarYear__c,sustain_app__Currency__c,sustain_app__DataSource__c,sustain_app__InflationRateKey__c,sustain_app__InflationRate__c
a0J1g0000044uEMEAY,IR-0029,2008,EUR,Based on annual CPI change since prior year,EUR-2008,3.272
a0J1g0000044uENEAY,IR-0030,2009,EUR,Based on annual CPI change since prior year,EUR-2009,0.295
a0J1g0000044uEOEAY,IR-0031,2010,EUR,Based on annual CPI change since prior year,EUR-2010,1.6122
a0J1g0000044uEPEAY,IR-0032,2011,EUR,Based on annual CPI change since prior year,EUR-2011,2.7123
a0J1g0000044uEQEAY,IR-0033,2012,EUR,Based on annual CPI change since prior year,EUR-2012,2.505
a0J1g0000044uEREAY,IR-0034,2013,EUR,Based on annual CPI change since prior year,EUR-2013,1.3542
a0J1g0000044uESEAY,IR-0035,2014,EUR,Based on annual CPI change since prior year,EUR-2014,0.432
a0J1g0000044uETEAY,IR-0036,2015,EUR,Based on annual CPI change since prior year,EUR-2015,0.03
a0J1g0000044uEUEAY,IR-0037,2016,EUR,Based on annual CPI change since prior year,EUR-2016,0.24
a0J1g0000044uEVEAY,IR-0038,2017,EUR,Based on annual CPI change since prior year,EUR-2017,1.5363
a0J1g0000044uEXEAY,IR-0040,2019,EUR,Based on annual CPI change since prior year,EUR-2019,1.2071
a0J1g0000044uEYEAY,IR-0041,2020,EUR,Based on annual CPI change since prior year,EUR-2020,0.2481
a0J1g0000044uEZEAY,IR-0042,2000,CAD,Based on annual CPI change since prior year,CAD-2000,2.7194
a0J1g0000044uEaEAI,IR-0043,2001,CAD,Based on annual CPI change since prior year,CAD-2001,2.5251
a0J1g0000044uEbEAI,IR-0044,2002,CAD,Based on annual CPI change since prior year,CAD-2002,2.2584
a0J1g0000044uEcEAI,IR-0045,2003,CAD,Based on annual CPI change since prior year,CAD-2003,2.7586
a0J1g0000044uEdEAI,IR-0046,2004,CAD,Based on annual CPI change since prior year,CAD-2004,1.8573
a0J1g0000044uEeEAI,IR-0047,2005,CAD,Based on annual CPI change since prior year,CAD-2005,2.2136
a0J1g0000044uEfEAI,IR-0048,2006,CAD,Based on annual CPI change since prior year,CAD-2006,2.002
a0J1g0000044uEgEAI,IR-0049,2007,CAD,Based on annual CPI change since prior year,CAD-2007,2.1384
a0J1g0000044uEhEAI,IR-0050,2008,CAD,Based on annual CPI change since prior year,CAD-2008,2.3703
a0J1g0000044uEiEAI,IR-0051,2009,CAD,Based on annual CPI change since prior year,CAD-2009,0.2995
a0J1g0000044uEjEAI,IR-0052,2010,CAD,Based on annual CPI change since prior year,CAD-2010,1.7769
a0J1g0000044uEkEAI,IR-0053,2011,CAD,Based on annual CPI change since prior year,CAD-2011,2.9121
a0J1g0000044uElEAI,IR-0054,2012,CAD,Based on annual CPI change since prior year,CAD-2012,1.5157
a0J1g0000044uEmEAI,IR-0055,2013,CAD,Based on annual CPI change since prior year,CAD-2013,0.9383
a0J1g0000044uEnEAI,IR-0056,2014,CAD,Based on annual CPI change since prior year,CAD-2014,1.9066
a0J1g0000044uEoEAI,IR-0057,2015,CAD,Based on annual CPI change since prior year,CAD-2015,1.1252
a0J1g0000044uEpEAI,IR-0058,2016,CAD,Based on annual CPI change since prior year,CAD-2016,1.4288
a0J1g0000044uEqEAI,IR-0059,2017,CAD,Based on annual CPI change since prior year,CAD-2017,1.5969
a0J1g0000044uEWEAY,IR-0039,2018,EUR,Based on annual CPI change since prior year,EUR-2018,1.739
a0J1g0000044uErEAI,IR-0060,2018,CAD,Based on annual CPI change since prior year,CAD-2018,2.2682
a0J1g0000044uEsEAI,IR-0061,2019,CAD,Based on annual CPI change since prior year,CAD-2019,1.9493
a0J1g0000044uEtEAI,IR-0062,2020,CAD,Based on annual CPI change since prior year,CAD-2020,0.7353
a0J1g0000044uEuEAI,IR-0063,2000,NZD,Based on annual CPI change since prior year,NZD-2000,3.1508
a0J1g0000044uEvEAI,IR-0064,2001,NZD,Based on annual CPI change since prior year,NZD-2001,3.374
a0J1g0000044uEwEAI,IR-0065,2002,NZD,Based on annual CPI change since prior year,NZD-2002,2.4244
a0J1g0000044uExEAI,IR-0066,2003,NZD,Based on annual CPI change since prior year,NZD-2003,2.092
a0J1g0000044uEyEAI,IR-0067,2004,NZD,Based on annual CPI change since prior year,NZD-2004,2.2862
a0J1g0000044uEzEAI,IR-0068,2005,NZD,Based on annual CPI change since prior year,NZD-2005,2.4877
